Date	Country	H1	H2	H3	H4	H5	H6	H7	H8	H9	H10	H11	H12	H13	H14	other
2019/12/24-2020/01/08	China	27	2	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Thailand	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Nepal	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	USA	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Japan	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Vietnam	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Canada	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	France	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Singapore	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Malaysia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Australia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	South	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	India	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Cambodia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Germany	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	England	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Italy	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	United	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Sweden	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Belgium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Saudi	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Ireland	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Nigeria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Oman	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Israel	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2019/12/24-2020/01/08	Austria	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
